timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y,drone4_pose_x,drone4_pose_y,drone4_pose_z,drone4_velocity_x,drone4_velocity_y,drone4_velocity_z,cable4_tension,drone4_control_x,drone4_control_y,drone4_control_z,attachment_point4_x,attachment_point4_y
1756810434.000650,0.200013,-0.000013,-0.971499,-0.000889,0.502827,0.002993,-0.000157,0.015001,0.076853,-0.432789,-0.049748,-0.112937,0.000014,-0.000680,-0.685531,0.685538,0.499962,0.007473,-0.007383,-0.049529,0.076060,-0.431016,0.118076,0.052800,0.000014,-0.000680,-0.830788,-0.351728,0.507002,-0.008356,0.003805,0.013786,0.059626,-0.408335,-0.175789,-0.069845,0.000014,-0.000680,-0.831413,0.355802,0.498409,-0.003548,-0.004955,0.039357,0.059446,-0.434942,0.055165,-0.101562,0.000014,-0.000680
1756810434.204780,0.200013,-0.000013,-0.971499,-0.000889,0.502827,0.002993,-0.000157,0.015001,0.076804,-0.419664,0.083851,-0.139176,0.000014,-0.000680,-0.685531,0.685538,0.499962,0.007473,-0.007383,-0.049529,0.076039,-0.389627,0.220205,0.046933,0.000014,-0.000680,-0.830788,-0.351728,0.507002,-0.008356,0.003805,0.013786,0.059554,-0.425395,-0.107528,-0.099926,0.000014,-0.000680,-0.831413,0.355802,0.498409,-0.003548,-0.004955,0.039357,0.059414,-0.429935,0.078186,-0.107498,0.000014,-0.000680
1756810434.419526,0.200013,-0.000013,-0.970963,-0.000905,0.501554,0.008956,-0.000063,-0.036214,0.076401,-0.447398,0.046310,-0.016710,0.000014,-0.000680,-0.684778,0.684792,0.494062,0.007121,-0.007100,-0.064333,0.075107,-0.377500,0.224549,0.097825,0.000014,-0.000680,-0.831808,-0.350841,0.504440,-0.011739,0.013095,-0.053277,0.059400,-0.413897,-0.151412,0.091067,0.000014,-0.000680,-0.832104,0.354980,0.501999,-0.009684,-0.009919,0.034399,0.059565,-0.431526,0.075533,-0.103605,0.000014,-0.000680
1756810434.633955,0.200013,-0.000013,-0.968685,-0.000707,0.493890,0.027318,0.001813,-0.064673,0.075358,-0.445177,0.000353,0.065974,0.000014,-0.000680,-0.682939,0.683853,0.484288,0.006168,-0.005933,-0.071758,0.074194,-0.370564,0.221159,0.127617,0.000014,-0.000680,-0.831569,-0.349278,0.495263,-0.001159,-0.002415,-0.058790,0.058402,-0.411681,-0.146871,0.107320,0.000014,-0.000680,-0.832183,0.354271,0.506569,0.005721,-0.004207,0.016992,0.060181,-0.433459,0.106834,-0.057193,0.000014,-0.000680
1756810434.852244,0.200013,-0.000013,-0.969331,-0.001553,0.485922,-0.024191,-0.007940,-0.050389,0.075073,-0.442726,-0.071211,0.037811,0.000014,-0.000680,-0.685102,0.683098,0.473814,-0.029230,-0.012145,-0.078468,0.073652,-0.329586,-0.262491,0.158058,0.000014,-0.000680,-0.833948,-0.351512,0.489169,-0.018078,-0.027029,-0.042991,0.058890,-0.409748,-0.171072,0.074509,0.000014,-0.000680,-0.834105,0.354703,0.507285,-0.021532,0.006629,-0.007362,0.060805,-0.433303,0.122441,-0.000179,0.000014,-0.000680
1756810435.046104,0.200013,-0.000013,-0.973120,-0.001450,0.478024,-0.025548,0.005727,-0.068947,0.075360,-0.438746,-0.050331,0.086534,0.000014,-0.000680,-0.688898,0.682925,0.462513,-0.025828,0.003459,-0.086508,0.073404,-0.367034,0.191786,0.176092,0.000014,-0.000680,-0.837218,-0.353777,0.483504,-0.036933,-0.009723,-0.039910,0.059369,-0.409876,-0.169298,0.076465,0.000014,-0.000680,-0.837992,0.355144,0.506235,-0.039792,-0.000679,-0.004611,0.061559,-0.425089,0.147592,0.004801,0.000014,-0.000680
1756810435.238692,0.200013,-0.000013,-0.976033,-0.000675,0.468255,-0.022847,0.005776,-0.089747,0.075412,-0.425989,-0.050963,0.135862,0.000014,-0.000680,-0.691699,0.683519,0.451508,-0.020873,0.005287,-0.094097,0.073281,-0.309188,0.266969,0.188781,0.000014,-0.000680,-0.842410,-0.354734,0.477690,-0.046147,0.000111,-0.055654,0.060233,-0.405317,-0.158157,0.114939,0.000014,-0.000680,-0.844011,0.354616,0.504854,-0.054472,-0.006437,-0.022098,0.062799,-0.426126,0.137329,0.045432,0.000014,-0.000680
1756810435.438463,0.200013,-0.000013,-0.977757,0.000152,0.454956,-0.007386,0.004654,-0.089358,0.074951,-0.422139,-0.061719,0.143213,0.000014,-0.000680,-0.694538,0.685176,0.438017,-0.009460,0.045195,-0.114408,0.073234,-0.310496,0.231698,0.228951,0.000014,-0.000680,-0.848155,-0.354711,0.468485,-0.037223,0.014504,-0.068561,0.060890,-0.395405,-0.156871,0.146811,0.000014,-0.000680,-0.851035,0.353309,0.499803,-0.050668,-0.006267,-0.035347,0.063899,-0.424912,0.126725,0.076794,0.000014,-0.000680
1756810435.637912,0.200013,-0.000013,-0.980898,-0.000553,0.446262,-0.039096,-0.013152,-0.063766,0.075200,-0.436806,-0.047931,0.097043,0.000014,-0.000680,-0.697479,0.685290,0.426245,-0.035744,-0.054576,-0.097512,0.073082,-0.312617,0.255886,0.198251,0.000014,-0.000680,-0.854364,-0.355191,0.462539,-0.052161,-0.024844,-0.036007,0.061973,-0.408186,-0.174405,0.073989,0.000014,-0.000680,-0.857216,0.354008,0.496684,-0.052717,0.016367,-0.018582,0.065167,-0.435460,0.107354,0.036834,0.000014,-0.000680
1756810435.838765,0.200013,-0.000013,-0.986791,-0.001654,0.436510,-0.039833,-0.004191,-0.079172,0.076116,-0.428353,-0.029652,0.134711,0.000014,-0.000680,-0.702618,0.680882,0.413833,-0.048676,-0.013620,-0.073767,0.072525,-0.322853,0.274128,0.152083,0.000014,-0.000680,-0.861939,-0.359498,0.457869,-0.041838,-0.038184,-0.044759,0.063859,-0.407710,-0.164604,0.095840,0.000014,-0.000680,-0.863529,0.357095,0.493973,-0.040701,0.020201,-0.014430,0.066737,-0.429530,0.130684,0.030539,0.000014,-0.000680
