timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y,drone4_pose_x,drone4_pose_y,drone4_pose_z,drone4_velocity_x,drone4_velocity_y,drone4_velocity_z,cable4_tension,drone4_control_x,drone4_control_y,drone4_control_z,attachment_point4_x,attachment_point4_y
1756682167.717668,0.200014,-0.000014,-0.971693,-0.000905,0.502368,0.006026,-0.000078,-0.014091,0.000494,-0.832831,0.002051,0.000000,0.000015,-0.000680,-0.685423,0.685409,0.495724,0.007581,-0.007541,-0.060494,0.000420,-0.581566,0.212702,0.000000,0.000015,-0.000680,-0.832340,-0.357610,0.501145,0.000317,0.000539,0.047927,0.000448,-0.740652,-0.175239,0.000000,0.000015,-0.000680,-0.829921,0.349876,0.504500,0.004972,-0.004230,0.059580,0.000409,-0.746729,0.180427,0.000000,0.000015,-0.000680
1756682167.749864,0.200014,-0.000014,-0.971222,-0.000910,0.500569,0.009547,-0.000051,-0.041474,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.684988,0.684979,0.491914,0.006864,-0.006760,-0.065058,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.832374,-0.357491,0.503973,-0.001360,0.003408,0.045511,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.829783,0.349553,0.508263,0.000886,-0.006156,0.063112,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682167.857610,0.200014,-0.000014,-0.968911,-0.000674,0.496719,0.049291,0.000085,-0.082452,0.000535,-0.612792,-0.000413,0.000000,0.000015,-0.000680,-0.683548,0.684371,0.487614,0.038582,-0.016878,-0.076227,0.000480,-0.303780,0.304149,0.000000,0.000015,-0.000680,-0.832558,-0.357169,0.506481,-0.005212,0.006311,0.035800,0.000475,-0.519177,-0.222711,0.000000,0.000015,-0.000680,-0.828432,0.348864,0.510832,0.041418,-0.019061,0.014172,0.000471,-0.518876,0.218515,0.000000,0.000015,-0.000680
1756682167.952741,0.200014,-0.000014,-0.969316,-0.000672,0.489529,-0.038507,-0.007140,-0.151896,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.683736,0.684167,0.482591,-0.039507,0.007207,-0.096529,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.832944,-0.356652,0.507365,-0.002946,0.014207,-0.004003,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.829765,0.348022,0.509584,-0.080819,-0.008252,-0.056904,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682168.052614,0.200014,-0.000014,-0.969965,-0.001210,0.478591,-0.006337,-0.007860,-0.115023,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.685303,0.683663,0.475574,-0.009970,-0.008443,-0.073753,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.832485,-0.355351,0.504518,-0.043278,-0.006896,-0.069228,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.833947,0.346329,0.503486,-0.036351,-0.024374,-0.076180,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682168.233848,0.200014,-0.000014,-0.971193,-0.001543,0.472855,-0.023328,-0.005724,-0.080175,0.000493,-0.648365,-0.000808,0.000000,0.000015,-0.000680,-0.685696,0.684000,0.471862,-0.005122,0.010983,-0.052596,0.000481,-0.323215,0.321254,0.000000,0.000015,-0.000680,-0.834639,-0.356059,0.500175,-0.020303,-0.004846,-0.065352,0.000426,-0.550414,-0.233993,0.000000,0.000015,-0.000680,-0.835885,0.345972,0.499736,-0.029998,0.005032,-0.050290,0.000457,-0.552017,0.228143,0.000000,0.000015,-0.000680
1756682168.257878,0.200014,-0.000014,-0.971193,-0.001543,0.472855,-0.023328,-0.005724,-0.080175,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.685696,0.684000,0.471862,-0.005122,0.010983,-0.052596,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.834639,-0.356059,0.500175,-0.020303,-0.004846,-0.065352,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.835885,0.345972,0.499736,-0.029998,0.005032,-0.050290,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682168.352553,0.200014,-0.000014,-0.974402,-0.002107,0.465077,-0.015202,-0.005392,-0.052703,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.686788,0.684100,0.466444,0.004660,-0.016375,-0.043078,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.836221,-0.356875,0.493748,-0.015692,-0.009966,-0.051125,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.839391,0.346314,0.493741,0.004661,-0.014830,-0.065077,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682168.453797,0.200014,-0.000014,-0.974713,-0.002437,0.462325,-0.003389,-0.004897,-0.040362,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.687913,0.684663,0.463554,-0.023753,0.016473,-0.051187,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.836683,-0.357389,0.490951,-0.005379,-0.005092,-0.042589,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.840732,0.346954,0.489143,-0.031724,0.017675,-0.090452,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
1756682168.555498,0.200014,-0.000014,-0.974906,-0.002722,0.460151,-0.002883,-0.004195,-0.033765,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.689095,0.685867,0.460671,-0.015631,0.018400,-0.043185,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.836837,-0.357606,0.488752,-0.004965,-0.003354,-0.032051,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680,-0.841548,0.347782,0.483769,-0.013913,0.008037,-0.082930,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000680
