timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y
1756772715.005444,0.200014,-0.000014,-0.971516,-0.000882,0.502100,0.004478,-0.000161,0.018871,0.076546,-0.489844,0.001846,-0.100822,0.000015,-0.000681,-0.684345,0.684338,0.488655,0.002699,-0.002672,-0.009051,0.074606,-0.404794,0.290029,-0.045159,0.000015,-0.000681,-0.687066,-0.685793,0.490672,0.006809,0.006798,-0.046347,0.075439,-0.423089,-0.259950,0.058515,0.000015,-0.000681
1756772715.169562,0.200014,-0.000014,-0.971516,-0.000882,0.502100,0.004478,-0.000161,0.018871,0.076543,-0.489661,-0.001737,-0.101662,0.000015,-0.000681,-0.684345,0.684338,0.488655,0.002699,-0.002672,-0.009051,0.074601,-0.405597,0.288646,-0.046755,0.000015,-0.000681,-0.687066,-0.685793,0.490672,0.006809,0.006798,-0.046347,0.075442,-0.416318,-0.270864,0.057521,0.000015,-0.000681
1756772715.314854,0.200014,-0.000014,-0.971190,-0.000896,0.502005,0.006486,-0.000070,-0.021646,0.076442,-0.500042,0.005084,-0.004994,0.000015,-0.000681,-0.684243,0.684229,0.488971,0.000596,-0.000720,0.012555,0.074578,-0.400970,0.279895,-0.104420,0.000015,-0.000681,-0.686750,-0.685465,0.488867,0.001788,0.001990,-0.005446,0.075188,-0.412023,-0.277579,-0.056491,0.000015,-0.000681
1756772715.488146,0.200014,-0.000014,-0.969996,-0.000830,0.497748,0.032823,0.004927,-0.058333,0.076044,-0.490530,0.056074,0.079381,0.000015,-0.000681,-0.683557,0.683753,0.490415,0.024808,-0.017038,0.002166,0.074577,-0.308527,0.382406,-0.092697,0.000015,-0.000681,-0.686685,-0.685373,0.489668,0.000365,0.000632,0.016484,0.075476,-0.413203,-0.236954,-0.152061,0.000015,-0.000681
1756772715.680653,0.200014,-0.000014,-0.969129,-0.001035,0.490053,-0.020730,-0.001281,-0.046356,0.074917,-0.486551,-0.103858,0.052430,0.000015,-0.000681,-0.684420,0.684149,0.487260,-0.023220,0.013636,-0.040427,0.074428,-0.461071,0.190233,0.036301,0.000015,-0.000681,-0.685847,-0.684814,0.489006,-0.012063,-0.003311,-0.034997,0.074888,-0.456929,-0.202140,0.021588,0.000015,-0.000681
1756772715.851619,0.200014,-0.000014,-0.974092,-0.001173,0.481567,-0.031695,-0.000690,-0.064914,0.075643,-0.488923,0.003510,0.104782,0.000015,-0.000681,-0.688786,0.686595,0.478344,-0.027573,0.014966,-0.064231,0.075050,-0.405183,0.270324,0.112970,0.000015,-0.000681,-0.689341,-0.686195,0.479752,-0.024129,-0.009110,-0.068665,0.075102,-0.399068,-0.274389,0.124331,0.000015,-0.000681
1756772716.056398,0.200014,-0.000014,-0.978499,-0.001433,0.471002,-0.027254,-0.000209,-0.085290,0.075916,-0.470398,0.056675,0.160356,0.000015,-0.000681,-0.693412,0.688619,0.469192,-0.030336,0.015301,-0.065232,0.075536,-0.326674,0.361879,0.111585,0.000015,-0.000681,-0.693265,-0.688126,0.470550,-0.030507,-0.014811,-0.064346,0.075460,-0.333025,-0.357035,0.108484,0.000015,-0.000681
1756772716.237216,0.200014,-0.000014,-0.980691,-0.000210,0.456362,-0.013204,0.007232,-0.086577,0.075838,-0.460719,-0.101284,0.165951,0.000015,-0.000681,-0.694715,0.691395,0.458007,-0.008135,0.015607,-0.065376,0.075679,-0.316433,0.369984,0.114050,0.000015,-0.000681,-0.697962,-0.690249,0.460674,-0.033486,-0.012545,-0.055139,0.076346,-0.441140,-0.219208,0.085770,0.000015,-0.000681
1756772716.423278,0.200014,-0.000014,-0.985073,-0.000846,0.447196,-0.044308,-0.011052,-0.053776,0.076375,-0.479761,-0.107951,0.090781,0.000015,-0.000681,-0.699439,0.693457,0.450834,-0.046866,0.016225,-0.047809,0.076455,-0.319259,0.377933,0.072563,0.000015,-0.000681,-0.703526,-0.691532,0.452883,-0.042660,-0.009930,-0.054070,0.077077,-0.459157,-0.177920,0.086841,0.000015,-0.000681
1756772716.599498,0.200014,-0.000014,-0.991813,-0.001902,0.439326,-0.049145,-0.007531,-0.064436,0.077642,-0.474365,-0.101705,0.121228,0.000015,-0.000681,-0.705995,0.695656,0.443116,-0.044214,0.015063,-0.059717,0.077578,-0.305558,0.380992,0.107268,0.000015,-0.000681,-0.709430,-0.693346,0.444711,-0.040736,-0.017282,-0.056482,0.077967,-0.454498,-0.182562,0.100659,0.000015,-0.000681
1756772716.756603,0.200014,-0.000014,-0.997333,-0.001750,0.428938,-0.035898,0.014317,-0.083134,0.078383,-0.476524,-0.001362,0.151933,0.000015,-0.000681,-0.711200,0.698256,0.433982,-0.036209,0.018415,-0.071769,0.078498,-0.416740,0.230213,0.152776,0.000015,-0.000681,-0.714191,-0.696729,0.436186,-0.024938,-0.029133,-0.065530,0.078946,-0.324024,-0.355718,0.136011,0.000015,-0.000681
1756772716.912073,0.200014,-0.000014,-1.000643,-0.000826,0.419783,-0.027538,-0.000525,-0.064766,0.078702,-0.485757,0.017719,0.117360,0.000015,-0.000681,-0.713861,0.700683,0.424916,-0.013608,0.019690,-0.081090,0.078837,-0.397265,0.248194,0.174883,0.000015,-0.000681,-0.717952,-0.698935,0.428663,-0.030821,-0.012294,-0.063580,0.079500,-0.441128,-0.193485,0.134088,0.000015,-0.000681
1756772717.060881,0.199973,-0.000014,-1.004700,-0.002097,0.413086,-0.034542,-0.018902,-0.055167,0.079428,-0.486326,-0.005687,0.116042,-0.000026,-0.000681,-0.715209,0.703144,0.416855,-0.023990,0.021403,-0.062245,0.079102,-0.393373,0.273004,0.143997,-0.000026,-0.000681,-0.722021,-0.699219,0.421061,-0.036449,0.004962,-0.066840,0.079890,-0.395104,-0.264657,0.154459,-0.000026,-0.000681
1756772717.216530,0.197303,-0.000014,-1.008960,-0.004289,0.405945,-0.037094,-0.017233,-0.064793,0.079456,-0.479129,-0.003887,0.142916,-0.002696,-0.000681,-0.718424,0.705763,0.408928,-0.026270,0.023141,-0.071408,0.079244,-0.385147,0.267254,0.173906,-0.002696,-0.000681,-0.727120,-0.698403,0.412657,-0.059894,0.018754,-0.077184,0.079724,-0.386053,-0.256512,0.187538,-0.002696,-0.000681
