timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y
1756601956.839246,0.200014,-0.000014,-0.970508,-0.000924,0.498235,0.010713,-0.000055,-0.057899,0.077513,-0.399630,0.456391,0.000000,0.000015,-0.000680
1756601956.936282,0.200014,-0.000014,-0.969688,-0.000930,0.493170,0.009575,-0.000085,-0.066038,0.076323,-0.361176,0.489842,0.000000,0.000015,-0.000680
1756601957.030735,0.200014,-0.000014,-0.968055,-0.002214,0.485403,0.011311,-0.000831,-0.077236,0.075383,-0.264630,0.567583,0.000000,0.000015,-0.000680
1756601957.138868,0.200014,-0.000014,-0.968630,-0.000240,0.480516,-0.017204,0.039092,-0.033245,0.074991,-0.358921,0.491949,0.000000,0.000015,-0.000680
1756601957.232600,0.200014,-0.000014,-0.971085,0.004585,0.478079,-0.023416,0.057116,-0.015719,0.076719,-0.422404,-0.434039,0.000000,0.000015,-0.000680
1756601957.344716,0.200014,-0.000014,-0.972195,0.010917,0.477582,-0.014755,0.073503,0.011059,0.075653,-0.477323,-0.386774,0.000000,0.000015,-0.000680
1756601957.445104,0.200014,-0.000014,-0.973922,0.020576,0.473416,-0.015889,0.069030,-0.078415,0.075941,-0.304933,-0.567773,0.000000,0.000015,-0.000680
1756601957.535593,0.200014,-0.000014,-0.976807,0.023189,0.467558,-0.040275,0.001815,-0.036050,0.076346,-0.161643,-0.585131,0.000000,0.000015,-0.000680
1756601957.637177,0.200014,-0.000014,-0.981743,0.023296,0.464414,-0.045062,-0.007727,-0.026694,0.077431,-0.147589,-0.589270,0.000000,0.000015,-0.000680
1756601957.738595,0.200014,-0.000014,-0.985156,0.021849,0.462544,-0.028717,-0.032820,-0.004599,0.078209,-0.176106,-0.579976,0.000000,0.000015,-0.000680
1756601957.841615,0.200014,-0.000014,-0.987407,0.016092,0.463414,-0.019790,-0.072035,0.012987,0.078832,-0.336680,-0.530257,0.000000,0.000015,-0.000680
