timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,pos_error
1767457678.099801,0.200014,-0.000014,-0.970609,-0.000911,0.494647,-0.051394,0.021282,0.005353,0.075538,-0.385530,0.106646,0.000000,1039.263236
1767457678.189736,0.200014,-0.000014,-0.969301,-0.001067,0.488037,-0.037148,-0.012985,0.011963,0.074671,-0.399455,-0.021179,0.000000,1111.780848
1767457678.288596,0.200014,-0.000014,-0.968671,-0.000744,0.482236,-0.074615,0.042017,0.017764,0.074058,-0.386257,0.104009,0.000000,1111.074567
1767457678.390785,0.200014,-0.000014,-0.969959,-0.000520,0.477921,-0.067073,-0.036750,0.022079,0.074076,-0.393045,-0.077190,0.000000,1152.375349
1767457678.501759,0.200014,-0.000014,-0.971723,0.000209,0.474455,-0.092551,0.029606,0.025545,0.074289,-0.396811,-0.065583,0.000000,1175.445755
1767457678.617961,0.200014,-0.000014,-0.974496,0.000655,0.470856,-0.084794,-0.012219,0.029144,0.074765,-0.390137,0.088365,0.000000,1204.264194
1767457678.702856,0.200014,-0.000014,-0.976891,-0.000213,0.469089,-0.100879,0.010090,0.030911,0.075274,-0.396466,0.053165,0.000000,1237.302931
1767457678.802093,0.200014,-0.000014,-0.981160,0.000662,0.468716,-0.106296,0.033458,0.031284,0.076384,-0.395174,0.062056,0.000000,1254.098336
1767457678.903141,0.200014,-0.000014,-0.985512,0.002176,0.469100,-0.105488,0.014985,0.030900,0.077571,-0.393904,0.069719,0.000000,1273.202529
1767457679.003824,0.199155,-0.000014,-0.989798,0.003239,0.470109,-0.109102,0.019765,0.029891,0.078558,-0.399644,-0.017974,0.000000,1175.172898
1767457679.137933,0.193527,-0.000014,-0.994473,0.004866,0.470964,-0.111892,0.015001,0.029036,0.078367,-0.399390,0.022324,0.000000,1091.385571
1767457679.234740,0.184384,-0.000014,-0.999676,0.005915,0.470926,-0.119743,0.005869,0.029074,0.077317,-0.399571,-0.018803,0.000000,1026.487500
1767457679.336547,0.178318,-0.000014,-1.005294,0.006954,0.469995,-0.119594,0.016963,0.030005,0.077131,-0.399336,0.023269,0.000000,1050.451732
1767457679.437354,0.176703,-0.000014,-1.010597,0.008101,0.469008,-0.113434,0.010156,0.030992,0.078044,-0.399618,-0.017795,0.000000,1083.333719
1767457679.536126,0.173467,-0.000014,-1.015814,0.008777,0.468778,-0.118871,0.004406,0.031222,0.078556,-0.399320,0.023547,0.000000,1031.525135
1767457679.644836,0.165211,-0.000014,-1.021708,0.009279,0.468997,-0.127714,0.005252,0.031003,0.077944,-0.399635,-0.017379,0.000000,940.231851
1767457679.744317,0.156117,-0.000014,-1.027900,0.010063,0.468688,-0.124827,0.013696,0.031312,0.077151,-0.399287,0.024075,0.000000,908.703296
1767457679.838466,0.151884,-0.000014,-1.032785,0.010523,0.468416,-0.123281,0.000055,0.031584,0.077306,-0.399645,-0.017136,0.000000,934.145800
1767457679.942244,0.149181,-0.000014,-1.038794,0.010752,0.468724,-0.126292,0.003463,0.031276,0.078209,-0.399263,0.024473,0.000000,934.878522
1767457680.045662,0.143902,-0.000014,-1.044946,0.011016,0.469340,-0.126103,0.007050,0.030660,0.078486,-0.399649,-0.017051,0.000000,869.899760
1767457680.125901,0.134423,-0.000014,-1.051320,0.011585,0.470047,-0.128881,0.005868,0.029953,0.077712,-0.399217,0.025197,0.000000,789.126844
1767457680.227866,0.125496,-0.000014,-1.058043,0.011684,0.470416,-0.133016,-0.004169,0.029584,0.077152,-0.399651,-0.016980,0.000000,767.512559
1767457680.322743,0.120915,-0.000014,-1.064693,0.011772,0.470498,-0.127680,0.006894,0.029502,0.077709,-0.399205,0.025389,0.000000,783.954174
1767457680.426994,0.117295,-0.000014,-1.070874,0.012095,0.470688,-0.124526,0.003964,0.029312,0.078406,-0.399658,-0.016814,0.000000,758.868094
1767457680.526401,0.109838,-0.000014,-1.077346,0.012206,0.471466,-0.133891,-0.000852,0.028534,0.078201,-0.399200,0.025459,0.000000,682.755557
1767457680.634949,0.099868,-0.000014,-1.084357,0.012123,0.472049,-0.135700,-0.001635,0.027951,0.077455,-0.399667,-0.016578,0.000000,628.452973
1767457680.733033,0.092554,-0.000014,-1.091146,0.012315,0.472054,-0.127761,0.008487,0.027946,0.077316,-0.399180,0.025767,0.000000,628.188027
1767457680.839325,0.088428,-0.000014,-1.097766,0.012446,0.472586,-0.130440,-0.002729,0.027414,0.078019,-0.399687,-0.016070,0.000000,625.979370
1767457680.932072,0.083108,-0.000014,-1.104477,0.012269,0.473159,-0.133869,-0.000522,0.026841,0.078431,-0.399191,0.025583,0.000000,580.045043
1767457681.000657,0.074261,-0.000014,-1.111194,0.012348,0.473573,-0.131168,0.001016,0.026427,0.077894,-0.399489,-0.020470,0.000000,518.187804
1767457681.106049,0.066544,-0.000014,-1.116744,0.012466,0.473928,-0.134911,0.003870,0.026072,0.077344,-0.398994,0.028500,0.000000,494.755085
1767457681.215705,0.059934,-0.000014,-1.123764,0.012350,0.474146,-0.132417,-0.005510,0.025854,0.077469,-0.399602,-0.018055,0.000000,496.200759
1767457681.301566,0.055792,-0.000014,-1.130506,0.012340,0.474401,-0.130931,0.006955,0.025599,0.078180,-0.398840,0.030602,0.000000,487.095111
1767457681.415838,0.049658,-0.000014,-1.137161,0.012405,0.474604,-0.132688,0.000242,0.025396,0.078334,-0.400044,0.004507,0.000000,441.269828
1767457681.476517,0.040508,-0.000014,-1.144011,0.012546,0.474580,-0.133436,0.004286,0.025420,0.077720,-0.399980,0.007922,0.000000,392.640432
1767457681.589812,0.032144,-0.000014,-1.150976,0.012939,0.474218,-0.133669,0.006460,0.025782,0.077322,-0.399989,0.005927,0.000000,377.653099
1767457681.692206,0.027059,-0.000014,-1.157894,0.013270,0.473961,-0.132651,-0.003313,0.026039,0.077792,-0.399454,-0.021226,0.000000,378.673262
1767457681.815031,0.022367,-0.000014,-1.164592,0.013539,0.473925,-0.131047,0.008651,0.026075,0.078324,-0.399831,0.011891,0.000000,355.937624
1767457681.888557,0.014635,-0.000014,-1.171347,0.013711,0.474272,-0.132920,0.000112,0.025728,0.078090,-0.399999,0.002641,0.000000,310.769854
1767457681.978123,0.005373,-0.000014,-1.178321,0.013494,0.474355,-0.135250,-0.002858,0.025645,0.077486,-0.399865,0.010679,0.000000,280.402465
1767457682.090276,-0.001669,-0.000014,-1.185422,0.013217,0.474330,-0.134412,-0.000868,0.025670,0.077499,-0.399997,0.002826,0.000000,275.264628
1767457682.174583,-0.006438,-0.000014,-1.192347,0.012992,0.474392,-0.132654,-0.000916,0.025608,0.078077,-0.399889,0.010049,0.000000,267.816857
1767457682.289656,-0.012458,-0.000014,-1.199076,0.012825,0.474443,-0.131899,-0.000701,0.025557,0.078270,-0.399990,0.003653,0.000000,239.280580
1767457682.375607,-0.019162,-0.000014,-1.204494,0.012724,0.474376,-0.132893,0.000272,0.025624,0.077922,-0.399880,0.010028,0.000000,230.836365
1767457682.486895,-0.027750,-0.000014,-1.211445,0.012536,0.474052,-0.134277,-0.001603,0.025948,0.077462,-0.399984,0.004224,0.000000,197.086666
1767457682.568287,-0.033866,-0.000014,-1.218408,0.012409,0.473698,-0.133016,0.001591,0.026302,0.077661,-0.399930,0.007782,0.000000,194.301172
1767457682.682976,-0.038706,-0.000014,-1.225184,0.012352,0.473540,-0.131899,-0.001480,0.026460,0.078164,-0.399970,0.005365,0.000000,183.501069
1767457682.775003,-0.045419,-0.000014,-1.231901,0.012219,0.473544,-0.132116,0.001486,0.026456,0.078165,-0.399942,0.007160,0.000000,157.793186
