timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y
1756897886.766908,0.200014,-0.000014,-0.893718,-0.000404,0.490376,0.006698,-0.000126,-0.056583,0.056087,-0.492930,0.051092,0.066537,0.000015,-0.000680,-0.632574,0.632548,0.486189,0.003873,-0.004491,-0.051193,0.055896,-0.419956,0.261766,0.071598,0.000015,-0.000680,-0.634094,-0.633443,0.488626,0.003587,0.004500,-0.054432,0.056505,-0.368634,-0.320016,0.108185,0.000015,-0.000680
1756897886.958449,0.200014,-0.000014,-0.893718,-0.000404,0.490376,0.006698,-0.000126,-0.056583,0.056145,-0.497235,-0.007470,0.052269,0.000015,-0.000680,-0.632574,0.632548,0.486189,0.003873,-0.004491,-0.051193,0.055975,-0.344857,0.356605,0.062542,0.000015,-0.000680,-0.634094,-0.633443,0.488626,0.003587,0.004500,-0.054432,0.056532,-0.379222,-0.307801,0.107025,0.000015,-0.000680
1756897887.169073,0.200014,-0.000014,-0.893417,-0.000410,0.488148,0.007896,-0.000090,-0.054922,0.055727,-0.491871,0.078975,0.043187,0.000015,-0.000680,-0.632444,0.632416,0.484183,0.002834,-0.002456,-0.049285,0.055720,-0.363951,0.338919,0.051724,0.000015,-0.000680,-0.633944,-0.633255,0.486489,0.003901,0.004704,-0.052807,0.056144,-0.334887,-0.355034,0.103142,0.000015,-0.000680
1756897887.380618,0.200014,-0.000014,-0.892308,-0.000377,0.481879,0.036493,-0.001060,-0.060049,0.055175,-0.483683,0.124760,0.022772,0.000015,-0.000680,-0.632058,0.632068,0.478595,0.005955,-0.003945,-0.046095,0.063952,-0.196943,0.459302,0.024687,0.000015,-0.000680,-0.633510,-0.632838,0.480507,0.013408,0.013136,-0.049853,0.046912,-0.351273,0.339759,0.121736,0.000015,-0.000680
1756897887.594440,0.200014,-0.000014,-0.892001,-0.000419,0.474147,-0.019702,0.007184,-0.063589,0.054155,-0.494639,0.004468,0.073252,0.000015,-0.000680,-0.631055,0.631292,0.471527,-0.014630,0.001940,-0.057985,0.053772,-0.312831,0.381645,0.084588,0.000015,-0.000680,-0.632813,-0.632240,0.473504,-0.013761,-0.011125,-0.059001,0.054752,-0.306954,-0.373056,0.129282,0.000015,-0.000680
1756897887.763648,0.200014,-0.000014,-0.895490,-0.000276,0.465809,-0.035401,-0.005743,-0.072432,0.054649,-0.490090,0.012517,0.098319,0.000015,-0.000680,-0.634190,0.632700,0.464510,-0.026863,0.021063,-0.063347,0.054571,-0.322333,0.367285,0.105888,0.000015,-0.000680,-0.635589,-0.634372,0.466038,-0.031768,-0.018737,-0.065964,0.055182,-0.385552,-0.286835,0.138144,0.000015,-0.000680
1756897887.921741,0.200014,-0.000014,-0.899053,-0.000246,0.458382,-0.043884,0.000624,-0.081056,0.055066,-0.485878,-0.018611,0.116876,0.000015,-0.000680,-0.636891,0.635126,0.457575,-0.027886,0.027210,-0.073833,0.055036,-0.360745,0.314203,0.145507,0.000015,-0.000680,-0.638585,-0.636526,0.459295,-0.028191,-0.027828,-0.072420,0.055731,-0.373037,-0.291138,0.161542,0.000015,-0.000680
1756897888.164806,0.200014,-0.000014,-0.902177,0.000071,0.451614,-0.033753,0.006591,-0.088195,0.055872,-0.470633,0.093285,0.140855,0.000015,-0.000680,-0.639620,0.636779,0.451460,-0.028565,0.022906,-0.074021,0.055475,-0.189366,0.415384,0.068042,0.000015,-0.000680,-0.640503,-0.640444,0.450103,-0.018188,-0.027360,-0.116124,0.056614,0.220187,-0.009575,0.448965,0.000015,-0.000680
1756897888.347833,0.200014,-0.000014,-0.904513,0.001698,0.438760,-0.015595,0.012774,-0.079567,0.055139,-0.481615,0.037593,0.129216,0.000015,-0.000680,-0.641544,0.641369,0.442368,-0.020274,0.035342,-0.051317,0.055945,-0.409324,0.273114,0.088870,0.000015,-0.000680,-0.642550,-0.636727,0.432418,-0.018010,0.018421,-0.109165,0.054592,-0.349233,-0.265018,0.240531,0.000015,-0.000680
1756897888.528716,0.200014,-0.000014,-0.907850,0.002660,0.433227,-0.052592,0.004222,-0.045402,0.055071,-0.435279,-0.249636,0.039170,0.000015,-0.000680,-0.644273,0.645118,0.438044,-0.033006,0.042927,-0.036041,0.056340,-0.487960,0.153101,0.020887,0.000015,-0.000680,-0.644869,-0.637608,0.424540,-0.036979,-0.027878,-0.054174,0.054364,-0.461315,-0.144731,0.127914,0.000015,-0.000680
1756897888.762966,0.200014,-0.000014,-0.913896,0.002738,0.428597,-0.065626,-0.000939,-0.049900,0.056502,-0.471756,-0.158399,0.048791,0.000015,-0.000680,-0.648529,0.649447,0.434230,-0.046468,0.045202,-0.041873,0.050038,-0.167784,0.466212,0.068482,0.000015,-0.000680,-0.649819,-0.640829,0.420079,-0.053899,-0.036644,-0.041103,0.063437,-0.328344,-0.375983,0.031178,0.000015,-0.000680
1756897888.951002,0.200014,-0.000014,-0.923174,0.002402,0.420798,-0.062015,0.008459,-0.060164,0.058696,-0.491354,0.012927,0.091795,0.000015,-0.000680,-0.655465,0.655044,0.427316,-0.040584,0.045620,-0.054984,0.059919,-0.362590,0.326139,0.112855,0.000015,-0.000680,-0.658009,-0.646627,0.408988,-0.023517,-0.022622,-0.095020,0.057713,-0.338267,-0.265359,0.255937,0.000015,-0.000680
1756897889.134516,0.200014,-0.000014,-0.928939,0.003534,0.414659,-0.049614,0.015201,-0.065044,0.059854,-0.468107,0.151429,0.089562,0.000015,-0.000680,-0.658123,0.660271,0.422972,-0.026652,0.054940,-0.027594,0.061114,-0.409413,0.284201,0.042290,0.000015,-0.000680,-0.656671,-0.647909,0.397756,0.003699,-0.010305,-0.101249,0.057081,-0.329678,-0.280341,0.250469,0.000015,-0.000680
1756897889.329333,0.200014,-0.000014,-0.934003,0.005443,0.409443,-0.061424,0.001422,-0.034035,0.060505,-0.496398,0.049700,0.033994,0.000015,-0.000680,-0.663122,0.665028,0.421188,-0.061298,0.040116,-0.014758,0.062722,-0.341098,0.365381,0.008425,0.000015,-0.000680,-0.658110,-0.649014,0.391100,-0.036837,-0.018979,-0.035693,0.056849,-0.457425,-0.154736,0.141701,0.000015,-0.000680
