timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y
1756677100.633115,0.200014,-0.000014,-0.969704,-0.000934,0.486171,0.007934,-0.000107,-0.065893,0.074985,-0.508550,0.040527,0.000000,0.000015,-0.000680,-0.685463,0.685454,0.497825,0.007687,-0.007617,-0.057385,0.075839,0.184078,-0.469765,0.000000,0.000015,-0.000680
1756677100.730987,0.200014,-0.000014,-0.969704,-0.000934,0.486171,0.007934,-0.000107,-0.065893,0.074924,-0.526199,-0.116691,0.000000,0.000015,-0.000680,-0.685463,0.685454,0.497825,0.007687,-0.007617,-0.057385,0.075749,-0.007125,-0.467284,0.000000,0.000015,-0.000680
1756677100.818797,0.200014,-0.000014,-0.969549,-0.000936,0.484860,0.007614,-0.000109,-0.065335,0.074164,-0.576626,0.189131,0.000000,0.000015,-0.000680,-0.685309,0.685301,0.496638,0.007677,-0.007588,-0.060388,0.075485,0.143565,-0.489993,0.000000,0.000015,-0.000680
1756677100.916246,0.200014,-0.000014,-0.969114,-0.000943,0.481026,0.006901,-0.000113,-0.062137,0.074437,-0.523403,-0.063284,0.000000,0.000015,-0.000680,-0.684872,0.684870,0.492830,0.006887,-0.006799,-0.065409,0.075121,-0.167250,-0.508674,0.000000,0.000015,-0.000680
1756677101.031550,0.200014,-0.000014,-0.967487,-0.000981,0.474994,0.021116,-0.002989,-0.059238,0.073040,-0.528682,0.075137,0.000000,0.000015,-0.000680,-0.684259,0.684259,0.486265,0.005448,-0.005492,-0.064670,0.074130,0.268310,-0.238568,0.000000,0.000015,-0.000680
1756677101.149610,0.200014,-0.000014,-0.967861,-0.000637,0.470909,-0.023236,0.001577,-0.024952,0.072953,-0.493249,-0.111436,0.000000,0.000015,-0.000680,-0.684424,0.685250,0.477831,0.008780,-0.004374,-0.075922,0.073562,-0.388442,-0.318444,0.000000,0.000015,-0.000680
1756677101.283430,0.200014,-0.000014,-0.971164,-0.001807,0.468693,-0.041199,-0.009098,-0.016677,0.073404,-0.536521,-0.041327,0.000000,0.000015,-0.000680,-0.682018,0.681903,0.471870,0.015856,-0.052204,-0.043871,0.072260,-0.328084,0.346636,0.000000,0.000015,-0.000680
1756677101.433735,0.200014,-0.000014,-0.976732,-0.000626,0.466801,-0.047032,0.004176,-0.014053,0.075607,-0.458124,-0.212351,0.000000,0.000015,-0.000680,-0.678856,0.674311,0.468049,0.038439,-0.073512,-0.029894,0.070248,-0.416874,0.300588,0.000000,0.000015,-0.000680
1756677101.557271,0.200014,-0.000014,-0.982422,-0.000725,0.464737,-0.032315,0.002916,-0.018643,0.076671,-0.500051,0.010883,0.000000,0.000015,-0.000680,-0.677709,0.663573,0.462617,0.014839,-0.063842,-0.049112,0.067441,0.481136,0.134544,0.000000,0.000015,-0.000680
1756677101.654586,0.200014,-0.000014,-0.985530,0.000350,0.463126,-0.031776,0.003958,-0.003852,0.076851,-0.488537,0.289516,0.000000,0.000015,-0.000680,-0.673458,0.657015,0.454276,0.000942,-0.075759,-0.070889,0.064607,-0.346757,0.364570,0.000000,0.000015,-0.000680
1756677101.761734,0.200014,-0.000014,-0.988514,0.000004,0.463812,-0.046587,-0.008896,0.015637,0.078587,-0.521270,-0.090632,0.000000,0.000015,-0.000680,-0.674246,0.652965,0.449672,-0.017454,-0.033249,-0.043036,0.064410,-0.419043,-0.273816,0.000000,0.000015,-0.000680
1756677101.869666,0.200014,-0.000014,-0.993337,-0.000941,0.464894,-0.037551,-0.014876,0.002799,0.080048,-0.502690,-0.012562,0.000000,0.000015,-0.000680,-0.676330,0.651687,0.446491,-0.023541,0.005252,-0.022228,0.064234,-0.436535,0.261651,0.000000,0.000015,-0.000680
