timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y
1756647627.683715,0.200014,-0.000014,-0.969607,-0.000938,0.486655,0.008005,-0.000109,-0.066177,0.074947,-0.403109,0.076384,-0.685358,0.685352,0.499191,0.007707,-0.007616,-0.056552,0.062651,0.395695,0.076384
1756647627.795539,0.200014,-0.000014,-0.969607,-0.000938,0.486655,0.008005,-0.000109,-0.066177,0.074970,-0.382553,0.211817,-0.685358,0.685352,0.499191,0.007707,-0.007616,-0.056552,0.062622,-0.339795,0.211817
1756647627.894285,0.200014,-0.000014,-0.969451,-0.000940,0.485338,0.007666,-0.000110,-0.065605,0.074851,-0.404244,0.270656,-0.685203,0.685199,0.498017,0.007722,-0.007636,-0.059848,0.062485,-0.294994,0.270656
1756647628.034810,0.200014,-0.000014,-0.968881,-0.000949,0.480278,0.006622,-0.000124,-0.060670,0.074408,-0.384486,0.228091,-0.684626,0.684626,0.492900,0.006683,-0.006679,-0.066342,0.061914,0.328673,0.228091
1756647628.139703,0.200014,-0.000014,-0.967483,-0.001006,0.474854,0.005638,-0.000973,-0.042635,0.073474,-0.411817,-0.245001,-0.684404,0.684101,0.486047,-0.024515,-0.002018,-0.085751,0.061188,0.314570,-0.245001
1756647628.233202,0.200014,-0.000014,-0.968566,-0.000572,0.471510,-0.020887,-0.005655,-0.027614,0.073573,-0.401034,-0.335453,-0.683442,0.683493,0.477203,0.073522,-0.005728,-0.114937,0.060212,-0.244384,-0.335453
1756647628.348538,0.200014,-0.000014,-0.970350,-0.001748,0.469645,-0.024797,-0.013290,-0.020689,0.073805,-0.418751,0.306370,-0.680013,0.682473,0.467630,0.021464,-0.014308,-0.100949,0.058681,0.257234,0.306370
1756647628.464412,0.200014,-0.000014,-0.972937,-0.002178,0.467233,-0.026290,0.006120,-0.025492,0.074591,-0.400415,-0.073453,-0.681081,0.682121,0.458610,-0.022989,0.002426,-0.098096,0.058345,0.394440,-0.073453
1756647628.558547,0.200014,-0.000014,-0.975462,-0.002573,0.464946,-0.024334,-0.010332,-0.018975,0.074944,-0.402753,-0.061650,-0.681299,0.684136,0.449986,0.015493,0.021215,-0.076930,0.057975,0.395056,-0.061650
1756647628.662872,0.200014,-0.000014,-0.977330,-0.003068,0.463739,-0.018713,-0.001727,-0.008133,0.075464,-0.401334,0.243569,-0.678367,0.685054,0.444327,0.039366,-0.002902,-0.065867,0.057188,-0.318043,0.243569
