timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y
1756897491.948711,0.200014,-0.000014,-0.893615,-0.000405,0.488472,0.006390,-0.000119,-0.055403,0.055724,-0.497349,0.003871,0.051187,0.000015,-0.000680,-0.632485,0.632468,0.481737,0.003741,-0.004360,-0.048316,0.055263,-0.366253,0.335317,0.059364,0.000015,-0.000680
1756897492.091589,0.200014,-0.000014,-0.893615,-0.000405,0.488472,0.006390,-0.000119,-0.055403,0.056001,-0.473533,-0.148779,0.060330,0.000015,-0.000680,-0.632485,0.632468,0.481737,0.003741,-0.004360,-0.048316,0.055644,-0.315788,0.384658,0.048114,0.000015,-0.000680
1756897492.238604,0.200014,-0.000014,-0.893327,-0.000410,0.486310,0.007652,-0.000094,-0.053230,0.055698,-0.497981,-0.004379,0.044737,0.000015,-0.000680,-0.632356,0.632334,0.479855,0.002775,-0.002514,-0.046012,0.055311,-0.357475,0.345580,0.053355,0.000015,-0.000680
1756897492.360728,0.200014,-0.000014,-0.892697,-0.000409,0.480474,0.005687,-0.000220,-0.045478,0.054653,-0.497739,-0.041549,0.029580,0.000015,-0.000680,-0.631798,0.631817,0.474501,0.021066,-0.019733,-0.054094,0.054548,-0.315307,0.381064,0.074358,0.000015,-0.000680
1756897492.497996,0.200014,-0.000014,-0.891219,-0.000357,0.476176,0.011765,-0.002586,-0.065529,0.054298,-0.492511,-0.028559,0.081321,0.000015,-0.000680,-0.630930,0.631060,0.469819,-0.001126,0.000268,-0.057086,0.053966,-0.324850,0.370519,0.085281,0.000015,-0.000680
1756897492.622516,0.200014,-0.000014,-0.892438,-0.000135,0.468794,-0.025466,-0.002396,-0.060445,0.054176,-0.494126,-0.019385,0.074188,0.000015,-0.000680,-0.633173,0.632686,0.462791,-0.025965,0.023705,-0.061193,0.054294,-0.433358,0.227856,0.101330,0.000015,-0.000680
1756897492.735314,0.200014,-0.000014,-0.895563,-0.001459,0.462356,-0.031305,-0.020922,-0.064872,0.054406,-0.463099,-0.154157,0.108624,0.000015,-0.000680,-0.635678,0.635337,0.456371,-0.029927,0.030237,-0.067460,0.054701,-0.468535,0.131323,0.115209,0.000015,-0.000680
1756897492.831670,0.200014,-0.000014,-0.898229,-0.002436,0.457152,-0.036693,-0.006709,-0.065672,0.055703,-0.462218,-0.155844,0.110363,0.000015,-0.000680,-0.638202,0.637789,0.450872,-0.027252,0.027008,-0.070881,0.055969,-0.462738,0.142795,0.124798,0.000015,-0.000680
1756897492.921757,0.200014,-0.000014,-0.901377,-0.002928,0.451651,-0.039174,-0.005575,-0.072640,0.054728,-0.459181,-0.158115,0.120708,0.000015,-0.000680,-0.639800,0.639609,0.444863,-0.012036,0.018848,-0.078314,0.055154,-0.450381,0.162247,0.144618,0.000015,-0.000680
1756897493.059381,0.200014,-0.000014,-0.903356,-0.003182,0.447119,-0.020376,-0.003717,-0.073489,0.055239,-0.481604,-0.087337,0.102070,0.000015,-0.000680,-0.640408,0.640708,0.440606,-0.014624,0.021418,-0.064331,0.055310,-0.486935,0.039709,0.106682,0.000015,-0.000680
1756897493.159948,0.200014,-0.000014,-0.907898,-0.003768,0.440594,-0.050443,-0.004676,-0.045935,0.056195,-0.466428,-0.159003,0.084773,0.000015,-0.000680,-0.642670,0.644392,0.435177,-0.037843,0.040196,-0.032729,0.056246,-0.459815,0.192041,0.043039,0.000015,-0.000680
1756897493.277147,0.200014,-0.000014,-0.912399,-0.003721,0.437208,-0.061147,-0.005816,-0.037356,0.056491,-0.499299,0.009300,0.032241,0.000015,-0.000680,-0.646718,0.647059,0.432408,-0.058541,0.029005,-0.039177,0.057105,-0.363707,0.337305,0.063382,0.000015,-0.000680
1756897493.404137,0.200014,-0.000014,-0.917480,-0.004605,0.434171,-0.066121,-0.015010,-0.040906,0.058124,-0.498081,0.010895,0.042761,0.000015,-0.000680,-0.651597,0.649269,0.428767,-0.063752,0.024849,-0.051143,0.058427,-0.358034,0.338867,0.083438,0.000015,-0.000680
