timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y
1756674520.438280,0.200014,-0.000014,-0.970490,-0.000916,0.492345,0.010018,-0.000092,-0.064595,0.074986,-0.555323,-0.014290,0.000000,0.000015,-0.000680,-0.685177,0.685160,0.493339,0.007146,-0.007079,-0.064409,0.075074,0.330951,-0.380425,0.000000,0.000015,-0.000680
1756674520.550802,0.200014,-0.000014,-0.970490,-0.000916,0.492345,0.010018,-0.000092,-0.064595,0.075333,-0.563257,-0.013735,0.000000,0.000015,-0.000680,-0.685177,0.685160,0.493339,0.007146,-0.007079,-0.064409,0.075573,-0.461085,0.196236,0.000000,0.000015,-0.000680
1756674520.671957,0.200014,-0.000014,-0.970295,-0.000918,0.491038,0.009582,-0.000094,-0.065823,0.075344,-0.515526,-0.305512,0.000000,0.000015,-0.000680,-0.685037,0.685023,0.492036,0.006850,-0.006755,-0.065553,0.075238,-0.421086,0.270940,-1.044297,0.000015,-0.000680
1756674520.773318,0.200014,-0.000014,-0.969441,-0.000928,0.484417,0.007605,-0.000108,-0.065157,0.075605,-0.687043,0.041930,0.000000,0.000015,-0.000680,-0.684425,0.684419,0.485469,0.005460,-0.005421,-0.064550,0.075777,0.257574,-0.431864,0.000000,0.000015,-0.000680
1756674520.876113,0.200014,-0.000014,-0.967519,-0.000879,0.477776,0.004217,-0.003369,-0.054745,0.073128,-0.543148,-0.027441,0.000000,0.000015,-0.000680,-0.684988,0.685145,0.477484,0.009935,-0.007629,-0.078589,0.073809,0.267067,-0.211594,0.000000,0.000015,-0.000680
1756674520.971523,0.200014,-0.000014,-0.969538,-0.001203,0.473861,-0.036124,-0.002990,-0.032388,0.073852,-0.582463,0.053848,0.000000,0.000015,-0.000680,-0.680509,0.681220,0.464243,0.032900,-0.035463,-0.118393,0.071492,0.218129,-0.448919,0.000000,0.000015,-0.000680
1756674521.062694,0.200014,-0.000014,-0.972810,-0.001415,0.471243,-0.043210,-0.001874,-0.034343,0.073008,-0.672287,-0.592852,0.000000,0.000015,-0.000680,-0.679815,0.679538,0.457426,-0.010071,-0.011348,-0.061648,0.070733,0.215756,-0.454741,0.082966,0.000015,-0.000680
1756674521.167403,0.200014,-0.000014,-0.976354,-0.000803,0.468462,-0.043546,-0.002474,-0.027696,0.075414,-0.530500,0.000378,0.000000,0.000015,-0.000680,-0.681837,0.679145,0.453799,-0.033480,0.003079,-0.035921,0.070650,0.356652,-0.271532,0.000000,0.000015,-0.000680
1756674521.281171,0.200014,-0.000014,-0.979730,-0.003628,0.465266,-0.038634,-0.026733,-0.022177,0.075173,-0.597289,-0.149790,0.000000,0.000015,-0.000680,-0.686790,0.681805,0.445991,-0.032756,0.013895,-0.094844,0.071294,0.161977,-0.336803,0.000000,0.000015,-0.000680
1756674521.398810,0.200014,-0.000014,-0.984837,-0.004674,0.463306,-0.046584,-0.006468,-0.017533,0.077380,-0.480719,-0.139091,0.000000,0.000015,-0.000680,-0.687130,0.679739,0.439258,0.013786,-0.022728,-0.046634,0.070884,0.204376,0.458491,0.000000,0.000015,-0.000680
1756674521.511336,0.200014,-0.000014,-0.988808,-0.005105,0.462767,-0.038048,0.027953,-0.007796,0.077919,-0.509720,0.028850,0.000000,0.000015,-0.000680,-0.683365,0.676521,0.436891,0.064554,-0.059671,-0.003931,0.069113,-0.384758,0.318886,0.000000,0.000015,-0.000680
1756674521.624916,0.200014,-0.000014,-0.993584,-0.005193,0.461230,-0.053502,-0.067871,-0.040635,0.079476,-0.504762,-0.002678,0.000000,0.000015,-0.000680,-0.677394,0.668739,0.437103,0.047574,-0.097765,0.002728,0.066785,-0.501679,0.010518,0.000000,0.000015,-0.000680
1756674521.727709,0.200014,-0.000014,-0.996803,-0.009197,0.455573,-0.011317,-0.007634,-0.062627,0.078677,-0.763919,-0.284577,279968092772226334469939450974349037261358925738196355103743683310514824651482569556792332025686130688.000000,0.000015,-0.000680,-0.672562,0.661472,0.437643,0.052737,-0.057181,0.010512,0.064210,-0.493870,0.093166,0.000000,0.000015,-0.000680
1756674521.829457,0.200014,-0.000014,-0.997914,-0.011131,0.447093,-0.022006,-0.031164,-0.107036,0.079745,-0.808331,-0.066826,0.000000,0.000015,-0.000680,-0.669874,0.655084,0.438332,0.011006,-0.063110,-0.011603,0.062875,0.458669,0.243533,0.000000,0.000015,-0.000680
1756674521.941824,0.200014,-0.000014,-1.000851,-0.014758,0.436277,-0.031721,-0.031800,-0.110175,0.079658,-0.508608,-0.104670,0.000000,0.000015,-0.000680,-0.666906,0.653615,0.437069,0.030779,0.008546,-0.016400,0.062087,-0.015428,-0.501099,0.000000,0.000015,-0.000680
1756674522.045660,0.200014,-0.000014,-1.003276,-0.014827,0.425205,-0.020754,0.008206,-0.110955,0.079459,-0.519779,0.031520,0.000000,0.000015,-0.000680,-0.664480,0.656018,0.435526,0.007072,0.009985,-0.005804,0.061239,0.365925,-0.218658,1056589062271333308023490371595619452221830468043566036165768999117174059325721254935670493987204856068173257610782075565521889383553853268010077820267102314364613357962445183235059006941319383341679674245951996800709025798987931351553935554265492677209284876644600774656.000000,0.000015,-0.000680
1756674522.160750,0.200014,-0.000014,-1.005184,-0.015276,0.416403,-0.026764,-0.010837,-0.106816,0.080268,-0.520429,0.060691,0.000000,0.000015,-0.000680,-0.665253,0.654133,0.436366,-0.020590,-0.037262,0.021543,0.062462,-0.191590,0.461010,0.000000,0.000015,-0.000680
1756674522.254081,0.199871,-0.000014,-1.008103,-0.017976,0.405836,-0.026580,-0.035294,-0.107159,0.079922,-0.500340,0.005564,0.000000,-0.000128,-0.000681,-0.669580,0.650021,0.436522,-0.023849,-0.037981,-0.014781,0.061652,-0.468590,0.187701,0.000000,-0.000128,-0.000681
1756674522.364928,0.198988,-0.000014,-1.011100,-0.021504,0.393210,-0.025371,-0.033870,-0.133971,0.079907,-0.509393,-0.007361,0.000000,-0.001011,-0.000681,-0.667568,0.648090,0.435397,0.039211,-0.026843,-0.000003,0.060887,-0.392846,0.301984,0.000000,-0.001011,-0.000681
1756674522.453529,0.198807,-0.000014,-1.013010,-0.024982,0.381902,-0.025377,-0.034457,-0.140442,0.079847,-0.501169,-0.007371,0.000000,-0.001192,-0.000681,-0.665359,0.643834,0.434912,0.035057,-0.054107,-0.000359,0.059495,-0.425519,0.263491,0.000000,-0.001192,-0.000681
1756674522.554520,0.198807,-0.000014,-1.014848,-0.026943,0.371258,-0.024192,-0.018328,-0.125420,0.079775,-0.500903,-0.005940,0.000000,-0.001192,-0.000681,-0.661750,0.639858,0.435982,0.054658,-0.043363,0.021781,0.058130,-0.409203,0.288123,0.000000,-0.001192,-0.000681
1756674522.637578,0.198807,-0.000014,-1.016785,-0.026822,0.359395,-0.014337,0.010409,-0.120410,0.079867,-0.503854,-0.005039,0.000000,-0.001192,-0.000681,-0.654079,0.635150,0.436081,0.065164,-0.031306,-0.016438,0.055831,-0.399526,0.301599,0.000000,-0.001192,-0.000681
1756674522.748911,0.198807,-0.000014,-1.018082,-0.026568,0.349683,-0.014650,-0.004880,-0.119041,0.079825,-0.500041,-0.023774,0.000000,-0.001192,-0.000681,-0.650280,0.635135,0.435156,0.014103,0.007143,-0.000741,0.055049,-0.401969,0.297996,57277807836950062309347901268833241126283142677371564367395673824387150972963058922194017006443237798973895385429420514499182301389415507934310987357283601068640677126873240196380401713784646497995498851062550589051244451391907247686933265285554110464.000000,-0.001192,-0.000681
1756674522.863184,0.198807,-0.000014,-1.019830,-0.027951,0.338521,-0.016849,-0.019142,-0.105153,0.079886,-0.499144,-0.038582,1056589062271334715682895772476912571813898376029227532120692789649087186431857022929088485093150096207585491422915984669400486515828094364764577751937713894638533352944662690683856992735552633959495278460716806796915510405730335288492506432631202539324388734069163163648.000000,-0.001192,-0.000681,-0.653475,0.635250,0.435170,-0.048187,0.001722,0.001796,0.055684,-0.435984,0.245724,0.000000,-0.001192,-0.000681
1756674522.973696,0.198807,-0.000014,-1.021142,-0.029945,0.328268,-0.011718,-0.020868,-0.100955,0.079899,-0.499325,-0.036299,0.000000,-0.001192,-0.000681,-0.657457,0.636508,0.436043,-0.033470,0.012924,0.015951,0.056735,-0.407376,0.290627,0.000000,-0.001192,-0.000681
1756674523.090373,0.198807,-0.000014,-1.022150,-0.033141,0.317686,-0.012861,-0.027376,-0.104702,0.079842,-0.493189,-0.106875,0.000000,-0.001192,-0.000681,-0.661048,0.636594,0.437438,-0.022631,-0.002414,0.015571,0.057534,-0.422070,0.268852,0.000000,-0.001192,-0.000681
1756674523.186149,0.198807,-0.000014,-1.023272,-0.034274,0.307484,-0.012520,-0.005216,-0.100990,0.079107,-0.588100,-0.014565,0.000000,-0.001192,-0.000681,-0.662092,0.636881,0.439696,-0.017276,0.017802,0.034368,0.057901,-0.333462,0.370575,0.000000,-0.001192,-0.000681
1756674523.286959,0.198807,-0.000014,-1.024019,-0.034912,0.299524,-0.007311,-0.011125,-0.098976,0.079512,-0.507206,0.064981,0.000000,-0.001192,-0.000681,-0.664022,0.639094,0.442660,-0.020529,0.038433,0.034981,0.058650,-0.243243,0.441971,-0.007311,-0.001192,-0.000681
1756674523.384697,0.198807,-0.000014,-1.024852,-0.035936,0.289807,-0.007684,-0.010265,-0.098598,0.079668,-0.533399,0.059316,0.000000,-0.001192,-0.000681,-0.667038,0.642744,0.447324,-0.061248,0.026639,0.058201,0.060466,-0.228523,0.450414,0.000000,-0.001192,-0.000681
1756674523.471191,0.198807,-0.000014,-1.025581,-0.036875,0.281852,-0.007055,-0.014107,-0.098384,0.078773,-0.563351,0.314130,0.000000,-0.001192,-0.000681,-0.672835,0.645042,0.452178,-0.076482,0.035244,0.060362,0.062010,-0.267519,0.428514,0.000000,-0.001192,-0.000681
1756674523.566648,0.198807,-0.000014,-1.026053,-0.038001,0.273810,-0.007132,-0.022520,-0.104596,0.079646,-0.533340,0.074619,0.000000,-0.001192,-0.000681,-0.678722,0.648230,0.456717,-0.069712,0.036969,0.052506,0.064296,-0.340340,0.367974,0.000000,-0.001192,-0.000681
1756674523.659980,0.198807,-0.000014,-1.026349,-0.040866,0.265587,-0.006550,-0.030662,-0.104947,0.078035,-0.822355,-0.324727,0.000000,-0.001192,-0.000681,-0.684326,0.650258,0.460631,-0.062574,0.030104,0.050532,0.065711,-0.418202,0.286001,0.000000,-0.001192,-0.000681
1756674523.770114,0.198807,-0.000014,-1.027113,-0.043701,0.254834,-0.004021,-0.027597,-0.106448,0.080278,-0.512008,-0.054449,0.000000,-0.001192,-0.000681,-0.689993,0.654060,0.466358,-0.047583,0.054007,0.061522,0.068843,-0.347618,0.359593,0.000000,-0.001192,-0.000681
1756674523.873254,0.198751,-0.000014,-1.027298,-0.045686,0.244108,-0.000013,-0.011659,-0.109130,0.079504,-0.498344,0.199305,0.000000,-0.001248,-0.000681,-0.693800,0.660964,0.473191,-0.040745,0.072854,0.071547,0.070278,-0.561280,0.178220,-1.521529,-0.001248,-0.000681
1756674523.966228,0.198748,-0.000014,-1.027578,-0.046982,0.235437,-0.005206,-0.006545,-0.108124,0.079188,-0.494941,0.188634,0.000000,-0.001251,-0.000681,-0.697802,0.666777,0.479080,-0.060203,0.072295,0.072602,0.071971,-0.571299,0.145418,0.000000,-0.001251,-0.000681
1756674524.081676,0.198648,-0.000014,-1.028104,-0.045901,0.226704,-0.008162,0.016717,-0.107188,0.079796,-0.499830,0.090391,0.000000,-0.001351,-0.000681,-0.703051,0.672532,0.484386,-0.069496,0.067436,0.059526,0.075439,-0.481181,0.188553,-0.000000,-0.001351,-0.000681
1756674524.179887,0.197264,-0.000014,-1.029231,-0.042438,0.215385,-0.022644,0.006336,-0.113830,0.079155,-0.519885,0.133280,0.000000,-0.002735,-0.000681,-0.711027,0.679618,0.490207,-0.071738,0.031987,0.035232,0.078084,-0.429471,0.277183,279968092772225899312107592411037151301891797269961267204611735631262064245502788042232446058982539264.000000,-0.002735,-0.000681
1756674524.276243,0.194659,-0.000013,-1.031871,-0.044152,0.205958,-0.044310,-0.037577,-0.100477,0.079503,-0.484542,0.144885,0.000000,-0.005340,-0.000680,-0.716028,0.682044,0.492798,-0.049673,0.033143,0.030782,0.078960,-0.499565,0.221779,0.000000,-0.005340,-0.000680
1756674524.384106,0.189009,0.000027,-1.035633,-0.048095,0.199136,-0.049161,-0.035582,-0.073146,0.079042,-0.528785,-0.042041,0.000000,-0.010990,-0.000640,-0.719900,0.685094,0.495282,-0.059398,0.041101,0.030985,0.079134,-0.397160,0.315538,0.000000,-0.010990,-0.000640
1756674524.477154,0.181443,0.000306,-1.040796,-0.049029,0.195628,-0.051534,0.003781,0.003812,0.078615,-0.460746,-0.360744,0.000000,-0.018556,-0.000361,-0.726965,0.689610,0.497869,-0.080691,0.045387,0.013582,0.078613,-0.574937,0.079333,1.000000,-0.018556,-0.000361
1756674524.596630,0.177943,0.000535,-1.044048,-0.048330,0.198405,-0.030037,0.013855,0.059512,0.078795,-0.480015,-0.156486,0.000000,-0.022056,-0.000132,-0.733416,0.693201,0.498061,-0.074621,0.040114,-0.005871,0.079395,-0.495032,0.019475,0.000000,-0.022056,-0.000132
1756674524.708505,0.173413,0.000923,-1.045641,-0.045739,0.209759,0.006674,0.056677,0.123002,0.078271,-0.500080,-0.023982,0.000000,-0.026586,0.000257,-0.741268,0.696116,0.495517,-0.063816,0.017655,-0.031527,0.079652,-0.427267,0.260584,0.000000,-0.026586,0.000257
1756674524.794684,0.169454,0.001348,-1.045047,-0.040275,0.222995,0.009052,0.059143,0.137624,0.077189,-0.516882,0.095339,0.000000,-0.030545,0.000681,-0.747058,0.697648,0.491235,-0.059704,0.018449,-0.047147,0.079233,-0.663856,0.071950,0.000000,-0.030545,0.000681
1756674524.901786,0.168669,0.001442,-1.045411,-0.038434,0.231331,-0.013683,0.018312,0.147146,0.077362,-0.503427,-0.002000,0.000000,-0.031330,0.000775,-0.750350,0.699081,0.488434,-0.041794,0.026863,-0.048643,0.079988,-0.451053,0.218442,0.000000,-0.031330,0.000775
1756674525.002888,0.166743,0.001685,-1.048518,-0.040068,0.247621,-0.044642,-0.062670,0.166690,0.077778,-0.499991,-0.025891,0.000000,-0.033256,0.001018,-0.755092,0.701093,0.483448,-0.065337,0.015658,-0.057510,0.079810,-0.427732,0.259841,0.000000,-0.033256,0.001018
1756674525.116577,0.162086,0.002351,-1.053748,-0.046393,0.264453,-0.054343,-0.066492,0.161938,0.078575,-0.500531,-0.012451,0.000000,-0.037912,0.001685,-0.762138,0.702349,0.477325,-0.084189,0.008150,-0.064706,0.079206,-0.419546,0.272861,0.000000,-0.037912,0.001685
1756674525.240300,0.158969,0.002835,-1.058249,-0.049414,0.280456,-0.036653,-0.007589,0.158197,0.079509,-0.499589,-0.032681,0.000000,-0.041029,0.002168,-0.769567,0.703783,0.471095,-0.067585,0.019883,-0.055315,0.079331,-0.427819,0.259690,0.000000,-0.041029,0.002168
1756674525.352996,0.153159,0.003282,-1.062104,-0.044289,0.299131,-0.033636,0.056846,0.142979,0.079503,-0.500495,-0.013928,0.000000,-0.046840,0.002615,-0.779404,0.704143,0.465182,-0.074331,0.004207,-0.054439,0.079311,-0.421518,0.269809,0.000000,-0.046840,0.002615
1756674525.446731,0.146982,0.003768,-1.066237,-0.039041,0.312070,-0.057958,0.022836,0.115746,0.079395,-0.499690,-0.031012,0.000000,-0.053017,0.003101,-0.786237,0.705452,0.461225,-0.068688,0.016225,-0.029128,0.078946,-0.426950,0.261167,0.000000,-0.053017,0.003101
